,name,department,rating,total_ratings,would take again,difficulty
2703,Jan Schneider,Finance,5,4 ratings,100%,3.8
2704,Nahid Siamdoust,Middle Eastern Studies,4,1 ratings,100%,5
2705,Vijay Chidambaram,Computer Science,5,1 ratings,100%,4
2706,Anna Tenerani,Physics,4.5,2 ratings,100%,3.5
2707,Alexander Huth,Computer Science,0,0 ratings,100%,0
2708,Gregory Anderson,Computer Science,0,0 ratings,N/A,0
2709,Brent Waters,Computer Science,0,0 ratings,N/A,0
2710,Eun Kim,Languages,4.3,6 ratings,75%,3.2
2711,Lauren Gulbas,Social Work,5,16 ratings,100%,3
2712,Robert Hammond,Business,5,1 ratings,100%,1
2713,Elizabeth Catlos,Geology,4,14 ratings,87%,2.6
2714,Deborah Hempel-Medina,Engineering,2.6,12 ratings,47%,4.3
2715,Joel Rollins,Communication,2.8,17 ratings,48%,3.5
2716,Stephen Trejo,Economics,4.5,5 ratings,100%,3.8
2717,Nevitt Reesor,Philosophy,3.4,5 ratings,100%,3.2
2718,Karen Rayne,Education,4.9,17 ratings,100%,1.7
2719,Yi-Chih Lin,Chemistry,2.7,8 ratings,50%,4
2720,Deborah Walker,Chemistry,3.3,111 ratings,56%,3.9
2721,Rabun Taylor,Classics,2.5,35 ratings,23%,3.7
2722,Jurgen Streeck,Communication,2.4,14 ratings,17%,3
2723,Chandra Srivastava,Marketing,1,1 ratings,50%,3
2724,Narayana Aluru,Engineering,3,1 ratings,100%,4
2725,James Sulzer,Engineering,5,2 ratings,100%,3.5
2726,Steve Steffensen,Medicine,0,0 ratings,N/A,0
2727,Alessandro Gabbi,Marketing,4.1,19 ratings,69%,4.2
2728,Jason Abrevaya,Economics,4.9,13 ratings,100%,3.4
2729,Nancy Sirianni,Marketing,5,1 ratings,100%,3
2730,Robert Prentice,Business,5,10 ratings,100%,3.4
2731,Caroline Crews,Religion,5,1 ratings,100%,2
2732,Xuan Ho,Film,1,1 ratings,50%,4
2733,Katherine Dunlop,Philosophy,0,0 ratings,100%,0
2734,Magda Simonet,Italian,5,1 ratings,100%,3
2735,Phillip Barrish,English,4.4,14 ratings,79%,2.4
2736,Gregory Brooks,Civil Engineering,0,0 ratings,100%,0
2737,Maria Gonzalez,Management & Info Systems,4.3,4 ratings,80%,3.8
2738,Lucas Holt,Engineering,0,0 ratings,100%,0
2739,Raul Madrid,Political Science,3.4,16 ratings,54%,3.5
2740,Lina Chhun,American Studies,4.3,3 ratings,50%,2.7
2741,Lauren Gutterman,American Studies,4.3,18 ratings,83%,3.1
2742,Bahar Tahamtani,American Studies,0,0 ratings,100%,0
2743,Tim Shanahan,Geology,3.2,36 ratings,N/A,3.4
2744,Brian Lendecky,Accounting,3.8,32 ratings,79%,3.6
2745,Ivan Chaar Lopez,American Studies,3.3,4 ratings,50%,3.5
2746,Lori Steiker,Social Work,4.7,8 ratings,89%,2.3
2747,Shao-Ying Cheng,Biology,2.9,34 ratings,62%,4.4
2748,Samuel Gosling,Psychology,3.3,15 ratings,69%,3.6
2749,Phil Isett,Mathematics,2,2 ratings,0%,4
2750,Abigail Weitzman,Sociology,3,1 ratings,50%,5
2751,Heather Hindman,Asian Studies,3.2,6 ratings,50%,2.8
2752,Mariah Wade,Anthropology,2.4,27 ratings,34%,3.7
2753,Robert Koons,Philosophy,4.7,16 ratings,100%,2
2754,Neil D Kamil,History,2.5,64 ratings,29%,3.4
2755,Brandon Jones,Humanities,0,0 ratings,100%,0
2756,Colton Krawietz,Communication,3.5,4 ratings,60%,3.8
2757,Nishant Upadhyay,Languages,5,1 ratings,100%,4
2758,Chris Kirk,Anthropology,4.6,62 ratings,90%,3.3
2759,Boris Corredor,Spanish & Portuguese,0,0 ratings,100%,0
2760,Virginia Brown,Social Science,1,3 ratings,0%,1.7
2761,Ciara Nugent,Statistics,3,2 ratings,75%,4
2762,Judith Coffin,History,3.5,11 ratings,77%,3.5
2763,Kristin Patterson,Biology,3.2,37 ratings,44%,3.5
2764,Dana Stauffer,Government,4,51 ratings,78%,3.6
2765,Abigail Hazlett,Communication,0,0 ratings,100%,0
2766,Denne Reed,Anthropology,4,22 ratings,79%,3.2
2767,Anthony Woodbury,Linguistics,3.8,35 ratings,74%,2.4
2768,Laura Gauggel,English,5,2 ratings,100%,2
2769,Frederick Aldama,English,5,2 ratings,100%,2
2770,Joel Lulla,Advertising,4.2,5 ratings,100%,1.2
2771,Peter Abrami,Art History,0,0 ratings,100%,0
2772,Raoul Hernandez,Journalism,5,1 ratings,100%,2
2773,Greg Sitz,Physics,4.4,14 ratings,95%,3
2774,Michael Young,Sociology,4.3,14 ratings,92%,2.5
2775,Pedro Santacruz,Engineering,4.4,13 ratings,67%,3.6
2776,Gustavo De Veciana,Engineering,4.5,4 ratings,100%,4
2777,Mallary Tenore,Journalism,5,1 ratings,100%,3
2778,Darla Castelli,Education,3.7,3 ratings,75%,2.3
2779,Michael Endl,Astronomy,4.3,23 ratings,87%,2.6
2780,Nick Winges-Yanez,Social Work,3.3,4 ratings,25%,3.8
2781,Erica Ciszek,Advertising,5,11 ratings,100%,2
2782,Lisa Griffin,Education,2.6,16 ratings,43%,3.7
2783,Coleman Hutchison,English,4.1,10 ratings,77%,3.6
2784,Danielle Berg,Astronomy,3,1 ratings,87%,4
2785,P.A.M Abusali,Engineering,2,1 ratings,0%,4
2786,Don Ruse,Management,2,14 ratings,55%,4.6
2787,Helena Woodard,English,4.3,15 ratings,100%,2.9
2788,Yaoyao Jia,Engineering,5,1 ratings,100%,5
2789,Ken Wiles,Finance,3.3,3 ratings,67%,2.3
2790,Christine Garvey,Fine Arts,3.1,7 ratings,58%,4.4
2791,Fatima Fahkreddine,Chemistry,4.7,8 ratings,100%,2.5
2792,Mike Scott,Computer Science,4.4,139 ratings,89%,3.6
2793,Martin Poenie,Biology,2.5,25 ratings,46%,3.8
2794,Julie Casey,History,4.3,21 ratings,90%,4
2795,Nilen Varade,Physics,0,0 ratings,N/A,0
2796,Daniel de Repentigny,Business,0,0 ratings,N/A,0
2797,Emanuel Tutuc,Engineering,4.6,8 ratings,100%,4
2798,Raymond Mooney,Computer Science,5,2 ratings,100%,2.5
2799,Kathryn Harden,Psychology,3.1,20 ratings,67%,3.6
2800,Brian Lukoff,Statistics,4.7,9 ratings,93%,3.9
2801,Scott Aaronson,Computer Science,0,0 ratings,100%,0
2802,Joan Asseff,Social Work,0,0 ratings,N/A,0
2803,Henrique Bolfarine,Statistics & Data Science,3,2 ratings,100%,2
2804,James Dalthorp,Advertising,4.8,17 ratings,100%,1.6
2805,Edoardo Baldini,Physics,4.5,2 ratings,100%,4
2806,Laura Bright,Advertising,4.8,4 ratings,100%,2.5
2807,Jeffery Rowland,Accounting,0,0 ratings,N/A,0
2808,Derrek Powell,Spanish & Portuguese,0,0 ratings,N/A,0
2809,David Prindle,Political Science,4.4,63 ratings,88%,2.9
2810,Raul Martinez,Anthropology,0,0 ratings,N/A,0
2811,Lucas Dimick,Fine Arts,0,0 ratings,100%,0
2812,Erika Slaymaker,Sociology,0,0 ratings,N/A,0
2813,Raz Zarate,Education,5,31 ratings,100%,2.5
2814,Amanda Mixon,Women's Studies,0,0 ratings,100%,0
2815,Kevin Yuan,Finance,0,0 ratings,100%,0
2816,Teresa Blumenthal,Spanish & Portuguese,1.3,7 ratings,0%,4.7
2817,Elif Sarinay Cenik,Biology,0,0 ratings,N/A,0
2818,Andrew Ellington,Biology,0,0 ratings,N/A,0
2819,John Meth,Mathematics,4.4,173 ratings,85%,3.1
2820,Lindsay Bouchacourt,Advertising,0,0 ratings,N/A,0
2821,Paul Toprac,Computer Science,1.6,5 ratings,20%,3
2822,Acacia Chan,Writing,0,0 ratings,100%,0
2823,Linchao Luo,Architecture,0,0 ratings,100%,0
2824,Jin Yang,Engineering,0,0 ratings,100%,0
2825,Mallory Matsumoto,Religion,0,0 ratings,100%,0
2826,Linda Gerber,Business,3.6,9 ratings,63%,3.8
2827,Elise Brazier,Business,0,0 ratings,100%,0
2828,Mark Helper,Science,4.5,12 ratings,78%,3.3
2829,Lito Porto,Spanish & Portuguese,4.8,31 ratings,100%,3.9
2830,Hannah Walker,Government,0,0 ratings,100%,0
2831,Ashish Agarwal,Business,4.1,15 ratings,100%,4.6
2832,Daniel Eaton,Philosophy,4,1 ratings,N/A,3
2833,Alia Hudroge,English,0,0 ratings,N/A,0
2834,Steve Gilbert,Business,4,5 ratings,100%,3.4
2835,Hector Dominguez-Ruvalcaba,Spanish & Portuguese,4.2,9 ratings,63%,2.7
2836,Randi Saunders,Sociology,0,0 ratings,100%,0
2837,Cary Cardova,American Studies,0,0 ratings,N/A,0
2838,Ed Salvato,Marketing,0,0 ratings,N/A,0
2839,Sunghyuk Park,Mathematics,0,0 ratings,100%,0
2840,Farshid Alambeigi,Engineering,0,0 ratings,N/A,0
2841,Alex Addington,Design,0,0 ratings,N/A,0
2842,Barbara Bullock,Linguistics,4.2,9 ratings,100%,4
2843,David Birdsong,French & Italian,0,0 ratings,100%,0
2844,Tyler Watts,Engineering,0,0 ratings,N/A,0
2845,David Wu,Computer Science,0,0 ratings,100%,0
2846,Sarah Collins,Statistics & Data Science,4.1,42 ratings,91%,3
2847,Andy Ellington,Chemistry,3.8,6 ratings,100%,4
2848,Andrew Butters,Journalism,0,0 ratings,100%,0
2849,Rachel Bardin,Film,0,0 ratings,N/A,0
2850,Laurel Rogers,Film,0,0 ratings,100%,0
2851,Paxton Haven,Film,0,0 ratings,N/A,0
2852,Sonia Gonzalez,Science,3,7 ratings,72%,3.3
2853,H.W. Perry Jr.,Government,4.6,15 ratings,95%,4.4
2854,Julia Guernsey,Art History,5,15 ratings,100%,2.3
2855,Amy Pavel,Computer Science,0,0 ratings,100%,0
2856,Orlando Kelm,Spanish & Portuguese,4.9,19 ratings,97%,1.5
2857,C.J. Alvarez,Ethnic Studies,4.5,2 ratings,100%,3
2858,Kate Bieberdorf,Chemistry,4.1,24 ratings,69%,3.5
2859,Autumn Reyes,Writing,0,0 ratings,N/A,0
2860,Daisy Adams,Art History,0,0 ratings,100%,0
2861,Siyan Li,Advertising,5,1 ratings,100%,3
2862,Dukkyun Lee,Philosophy,0,0 ratings,100%,0
2863,Ananth Dodabalapur,Engineering,2.9,16 ratings,87%,3.9
2864,Donald Levin,Biology,2.9,101 ratings,50%,3.6
2865,John Lassiter,Geology,3.9,12 ratings,93%,2.7
2866,Amanda Wilkens,Mathematics,2.5,2 ratings,80%,3.5
2867,Tom Sager,Information Science,1.3,8 ratings,13%,5
2868,Caryn Carlson,Psychology,5,2 ratings,100%,3.5
2869,Bradley Gold,Business,3.5,23 ratings,60%,3.2
2870,Claudia Esquivel,Finance,3,1 ratings,0%,4
2871,Andrew Belnap,Accounting,0,0 ratings,100%,0
2872,Merri Su Ruhmann,Accounting,1.7,3 ratings,0%,3
2873,Jayant Sirohi,Engineering,0,0 ratings,N/A,0
2874,Ernesto Lima,Biomedical Engineering,0,0 ratings,100%,0
2875,Rasa Navasaityte,Architecture,1,2 ratings,N/A,3.5
2876,Juan Miro,Architecture,0,0 ratings,N/A,0
2877,Stephennie Mulder,Art History,4.7,31 ratings,97%,3
2878,Elizabeth Ilardi,Biology,0,0 ratings,100%,0
2879,Sarfraz Khurshid,Engineering,1,1 ratings,N/A,3
2880,Marie Garnier,English,0,0 ratings,100%,0
2881,Kaily Heitz,Geography,3,1 ratings,100%,4
2882,Karim Nader,Philosophy,0,0 ratings,N/A,0
2883,Jordan Conwell,Sociology,5,1 ratings,100%,3
2884,Marlena Cravens,Spanish & Portuguese,0,0 ratings,N/A,0
2885,Xin Nong,Government,0,0 ratings,N/A,0
2886,Albert MacKrell,Science,0,0 ratings,100%,0
2887,Vanessa Lopez,Writing,0,0 ratings,100%,0
2888,Mevin Hooten,Statistics,0,0 ratings,100%,0
2889,Rebecca Torres,Ethnic Studies,5,1 ratings,100%,4
2890,Eric Freeman,Fine Arts,0,0 ratings,100%,0
2891,Anna Teiche,Fine Arts,0,0 ratings,N/A,0
2892,Josh Fisher,Finance,0,0 ratings,N/A,0
2893,Donald Ruse,Management,0,0 ratings,N/A,0
2894,Anita Latham,Biology,4.7,140 ratings,93%,3.2
2895,Franky Ramont,Languages,2.9,10 ratings,29%,4.1
2896,Carlos Carvalho,Business,2,1 ratings,100%,3
2897,Catalina Alzate,Design,1,1 ratings,100%,3
2898,Jessie Contour,Fine Arts,0,0 ratings,N/A,0
2899,Mic Fenech,Education,0,0 ratings,100%,0
2900,Sam Twito,Social Science,3,1 ratings,100%,2
2901,Zhen Yao,Physics,3.4,39 ratings,72%,3.9
2902,Alicia Armijo,Philosophy,0,0 ratings,N/A,0
2903,Jay Hartzell,Business,0,0 ratings,N/A,0
2904,Jonathan Valvano,Engineering,3.7,19 ratings,74%,3.4
2905,Nafal Ossandon Hostens,Languages,5,1 ratings,100%,2
2906,Todd Ditmire,Physics,3.2,15 ratings,88%,4.3
2907,Joshua Rock,Management & Info Systems,4.1,130 ratings,83%,4.2
2908,Tyler Richard,Asian Studies,0,0 ratings,100%,0
2909,Crystal Rosenthal,Art History,0,0 ratings,100%,0
2910,Alan Kuperman,International Studies,0,0 ratings,N/A,0
2911,Hamed Khaledi,Management & Info Systems,3.1,13 ratings,54%,3.9
2912,Christy Erving,Sociology,4,1 ratings,100%,3
2913,Greg Song,Advertising,4,1 ratings,100%,2
2914,Anthony Kuhn,Government,5,1 ratings,100%,3
2915,Svetlana Boyarchenko,Economics,2.5,17 ratings,40%,4.2
2916,Erin McElroy,American Studies,3.7,3 ratings,100%,1.7
2917,Dennis Mishler,Science,3.2,22 ratings,69%,4.4
2918,Suzanne Seriff,Anthropology,3.6,47 ratings,65%,2.4
2919,Paul Bonin,Fine Arts,4.8,4 ratings,88%,2.8
2920,Ray Chen,Engineering,3,4 ratings,67%,1.8
2921,Eric Vera,Theater,4.3,29 ratings,90%,2.9
2922,Marc Bizer,French & Italian,3.6,14 ratings,70%,3.1
2923,Jonathan Partridge,Biology,4.5,77 ratings,94%,3.3
2924,MAY WANG,Accounting,1.3,15 ratings,0%,3.7
2925,Tina Peterson,Computer Science,4.1,8 ratings,93%,2
2926,Ricky Shear,English,5,2 ratings,100%,2.5
2927,Maria Echavarria,Spanish & Portuguese,4.3,9 ratings,80%,2.9
2928,Celina Nevarez,Languages,4.5,12 ratings,92%,3.1
2929,Jacqueline Evans,Psychology,4.5,39 ratings,93%,2.5
2930,Larissa Bougleux,Spanish amp Portuguese,3,8 ratings,50%,3.7
2931,W. Rory Coker,Physics,2.9,24 ratings,50%,4.1
2932,Yingda Lu,Engineering,5,1 ratings,100%,3
2933,Dagoberto Cortez,Sociology,5,1 ratings,100%,2
2934,Andrew Hintz,Computer Science,0,0 ratings,100%,0
2935,Lori Magruder,Engineering,0,0 ratings,N/A,0
2936,Amy Lee,Neuroscience,0,0 ratings,100%,0
2937,Katelyn Hatfield,Kinesiology & Health,0,0 ratings,100%,0
2938,Kevin Galambos,Government,0,0 ratings,N/A,0
2939,Noemie Hamaide,French & Italian,0,0 ratings,100%,0
2940,Brendon Bankey,Communication,3.3,6 ratings,67%,3.3
2941,Hongjoo Lee,Psychology,4.9,15 ratings,100%,3.5
2942,Ruth Shear,Chemistry,3.8,87 ratings,76%,3.2
2943,Paul Shapiro,Astronomy,2.6,29 ratings,53%,3.6
2944,Daniella Bini,Languages,2.7,6 ratings,N/A,3.5
2945,Robert Abzug,History,5,2 ratings,100%,3
2946,Monica Fogelquist,Music,2,2 ratings,N/A,2
2947,Jendayi Dillard,Psychology,0,0 ratings,N/A,0
2948,Samantha Meyer,Classics,0,0 ratings,100%,0
2949,Jeff Leon,Philosophy,3.2,43 ratings,84%,3
2950,Jacob Cheadle,Sociology,3,1 ratings,50%,4
2951,Matias Delgadino,Mathematics,0,0 ratings,N/A,0
2952,Andres Carrete,Classics,0,0 ratings,100%,0
2953,Patrick Brockett,Management,2.5,2 ratings,0%,4
2954,Guo-Jhen Wu,Mathematics,0,0 ratings,100%,0
2955,Karen Kocher,Communication,0,0 ratings,100%,0
2956,Karen Kocher,Film,5,1 ratings,100%,2
2957,Erica Winterer,Mathematics,0,0 ratings,100%,0
2958,John Griffin,Finance,0,0 ratings,N/A,0
2959,Clarice Blanco,English,5,1 ratings,100%,3
2960,Shuying Wang,Mathematics,5,1 ratings,100%,2
2961,Pooja Narsingdas Kakani,Mathematics,0,0 ratings,N/A,0
2962,Thomas Rushin,English,0,0 ratings,N/A,0
2963,Sara Toynbee,Accounting,2.5,13 ratings,39%,4.5
2964,Mike Caverly,Education,0,0 ratings,100%,0
2965,Marissa Knox,Education,0,0 ratings,100%,0
2966,Gary Anderson,Management,0,0 ratings,100%,0
2967,Kathleen Griesbach,Sociology,0,0 ratings,100%,0
2968,Audrey Shaffer,Communication,0,0 ratings,N/A,0
2969,Pam Arnold,Fine Arts,3,1 ratings,N/A,2
2970,Kayla Booth,Information Sciences & Technology,0,0 ratings,100%,0
2971,David Lauderback,History,0,0 ratings,100%,0
2972,Constantinos Coutifaris,Business,5,1 ratings,100%,3
2973,Leon Kunz,Government,5,1 ratings,100%,3
2974,Pauline Claussen,Management & Info Systems,0,0 ratings,100%,0
2975,David Springer,First Year Experience,0,0 ratings,N/A,0
2976,Laurel Mei-Singh,Asian Studies,5,1 ratings,100%,1
2977,Klara Fredriksson,Government,5,1 ratings,100%,1
2978,Laura Chase,Science,0,0 ratings,100%,0
2979,Falan Buie-Madden,Theatre & Dance,0,0 ratings,100%,0
2980,Keerti Arora,Writing,0,0 ratings,N/A,0
2981,Keshav Goud,Psychology,5,1 ratings,100%,1
2982,Xuancheng Zhou,Computer Science,4,1 ratings,100%,3
2983,Clay Odom,Architecture,5,1 ratings,100%,2
2984,Agustina Rodriquez,Architecture,1,1 ratings,N/A,5
2985,Christian Rees,Writing,5,1 ratings,100%,2
2986,Devleena Samanta,Chemistry,4,1 ratings,100%,4
2987,Preston Biro,Statistics,5,1 ratings,100%,2
2988,Michael Mason,Writing,0,0 ratings,100%,0
2989,Lars Hinrichs,English,2,5 ratings,0%,3.2
2990,Greg Hervey,Graphic Arts,1.8,10 ratings,20%,3.3
2991,Bindu Viswanathan,Mathematics,3.6,38 ratings,69%,3.5
2992,Nicole Awai,Fine Arts,3.3,4 ratings,100%,2.5
2993,Jeffrey Barrick,Biology,3.1,16 ratings,67%,4.3
2994,Jonghwan Kim,Biology,3.8,4 ratings,100%,4
2995,Nathaniel Gilmore,Government,3.5,2 ratings,100%,3.5
2996,Amanda Russell,Marketing,4.3,21 ratings,81%,3.4
2997,Andrea Pittard,Humanities,4.6,22 ratings,94%,2.7
2998,Gergina Pencheva,Mathematics,2.2,51 ratings,35%,3.9
2999,Raul Longoria,Engineering,0,0 ratings,N/A,0
3000,Jeff Mihm,Business,0,0 ratings,100%,0
3001,Gregory Salmieri,Philosophy,0,0 ratings,N/A,0
3002,Amanda Tovar,American Studies,5,1 ratings,100%,1
3003,Ju Zhang,Philosophy,2,1 ratings,N/A,4
3004,Henrique Bolfraine,Business,0,0 ratings,100%,0
3005,Francesca Passaseo,Italian,5,1 ratings,100%,2
3006,Teal Pennebaker,Business,0,0 ratings,N/A,0
3007,Jeff Monaco,Kinesiology & Health,0,0 ratings,100%,0
3008,Shyam Shankar,Engineering,0,0 ratings,N/A,0
3009,George Adams,Music,0,0 ratings,N/A,0
3010,James Tandy,Linguistics,0,0 ratings,100%,0
3011,Cole Holmes,Business,0,0 ratings,N/A,0
3012,Pauline Claussen,Statistics,0,0 ratings,100%,0
3013,Layla Parast,Mathematics,5,1 ratings,100%,2
3014,Matthew Mccutchin,Advertising,5,1 ratings,100%,2
3015,Elijah Wilder,Linguistics,5,1 ratings,100%,2
3016,Arisbel Andraca,Spanish & Portuguese,5,1 ratings,100%,4
3017,Marcel Goldschen-Ohm,Science,0,0 ratings,100%,0
3018,Wei Xuexin,Neuroscience,0,0 ratings,N/A,0
3019,Khytie Brown,Religion,0,0 ratings,N/A,0
3020,Robin Johnson,Social Work,1,2 ratings,N/A,3.5
3021,Cristina Maymí,Languages & Literatures,5,1 ratings,100%,1
3022,Bill Bulko,Computer Science,0,0 ratings,N/A,0
3023,Mark Tsechansky,Management & Info Systems,1,1 ratings,100%,2
3024,Kathryn Hartzell,Communication,3,1 ratings,N/A,4
3025,Kristie Denlinger,Linguistics,0,0 ratings,100%,0
3026,Taylor Johnson Karahan,American Studies,0,0 ratings,N/A,0
3027,Anthony Brown,Education,5,1 ratings,100%,2
3028,Scott Kravitz,Physics,0,0 ratings,100%,0
3029,Diego Rivera,Music,0,0 ratings,N/A,0
3030,John Savage,Communication,0,0 ratings,100%,0
3031,Zoya Kraus,History,0,0 ratings,N/A,0
3032,John Davis,Finance,5,1 ratings,100%,3
3033,Derek Powell,Languages,0,0 ratings,N/A,0
3034,Jill Kolasinski,First Year Experience,4,1 ratings,100%,1
3035,Susan Harkins,First Year Experience,4,1 ratings,100%,1
3036,Arie Israel,Mathematics,4,24 ratings,96%,3.1
3037,Jorge Prozzi,Engineering,3.8,8 ratings,72%,4.1
3038,Paul McClure,Engineering; Science; & Mechanics,2.5,34 ratings,30%,3.2
3039,Denise Spellberg,History,4.3,24 ratings,100%,3
3040,Jamie Stephens,Business,0,0 ratings,N/A,0
3041,Andrew Riggsby,Classics,2.4,25 ratings,56%,4.1
3042,Elliot Hauser,Information Science,2,1 ratings,100%,1
3043,Karianne Marks,Physics,4.7,6 ratings,100%,3.7
3044,John Griffin,Business,1,1 ratings,N/A,5
3045,Iana Robitaille,Writing,5,1 ratings,100%,2
3046,Landon Croker,Engineering,0,0 ratings,N/A,0
3047,Landon Croker,Engineering; Science; & Mechanics,0,0 ratings,N/A,0
3048,Martin Schmidt,Accounting,1,1 ratings,N/A,5
3049,Edward Castillo,Engineering,0,0 ratings,100%,0
3050,Gwendolyn Kelso,Theatre & Dance,0,0 ratings,N/A,0
3051,Brooke Davis,Design,1,1 ratings,100%,4
3052,Jay Bartroff,Mathematics,3,1 ratings,N/A,3
3053,Heath Dewrell,Middle Eastern Studies,0,0 ratings,100%,0
3054,Lorenzo Sadun,Mathematics,2.7,62 ratings,41%,4.1
3055,J. Kamas,Accounting,4.3,42 ratings,85%,3.5
3056,Elizabeth Ries,Education,0,0 ratings,100%,0
3057,Heather Wilber,Mathematics,4.5,4 ratings,100%,2.5
3058,Clarence Chan,Biology,3,28 ratings,55%,4.4
3059,Johann Eberhart,Biology,4.4,5 ratings,84%,4.4
3060,Mary Parker,Mathematics,1,1 ratings,0%,3
3061,Paul Edgar,Middle Eastern Studies,3.3,7 ratings,100%,3.4
3062,Diego De Jesus Santos,Spanish & Portuguese,0,0 ratings,N/A,0
3063,Ashley Guidry,Communication,5,1 ratings,100%,2
3064,Mary Ibarrola,Anthropology,5,1 ratings,100%,3
3065,Xuexin Wei,Neuroscience,0,0 ratings,N/A,0
3066,Katie Williams,Psychology,5,1 ratings,100%,2
3067,Ethan Pew,Marketing,0,0 ratings,100%,0
3068,Keoshia Harris,Education,0,0 ratings,N/A,0
3069,Melissa Biggs,Anthropology,5,1 ratings,100%,1
3070,Aquasia Shaw,Kinesiology & Health,1.3,4 ratings,100%,4.5
3071,Michellan Quimby,Science,5,1 ratings,100%,3
3072,Inder Saxena,Biology,3,134 ratings,54%,3.8
3073,Joseph Dunsmoor,Biology,0,0 ratings,N/A,0
3074,Daniel Brinks,Political Science,4.4,14 ratings,100%,2.9
3075,Kasey Claborn,First Year Experience,3.8,4 ratings,100%,2.5
3076,Michae Pasala,Computer Science,0,0 ratings,N/A,0
3077,Medhi Haghshenas,Social Science,3.9,130 ratings,79%,3.1
3078,Tanya Hutter,Engineering,5,2 ratings,100%,2
3079,Fernando Lara,Architecture,3.3,7 ratings,58%,2.4
3080,Michael Shepherd,Health Science,5,1 ratings,100%,2
3081,George Bittner,Neuroscience,1,2 ratings,N/A,5
3082,Linda Golden,Marketing,5,7 ratings,100%,2.6
3083,Shirley Cohen,Computer Science,3.7,10 ratings,60%,3.1
3084,Danelle Briscoe,Architecture,1,2 ratings,0%,3.5
3085,Noah Davis,Computer Science,0,0 ratings,N/A,0
3086,Wang Atlas,Electrical & Computer Engineering,0,0 ratings,N/A,0
3087,Min Suk Kim,Spanish & Portuguese,0,0 ratings,100%,0
3088,Sage Anderson,Education,5,1 ratings,100%,2
3089,Clint LaFuente,Education,4,1 ratings,100%,1
3090,Falan Buie-Madden,Theater,0,0 ratings,N/A,0
3091,Laura Chase,Education,0,0 ratings,N/A,0
3092,Moira Muldoon,Engineering,5,1 ratings,100%,2
3093,Kyle Kearns,Engineering,4,1 ratings,100%,3
3094,Matthew Bisconti,Philosophy,0,0 ratings,N/A,0
3095,Marjorie Yankeelov,Music,5,4 ratings,100%,2.5
3096,Michael Harney,Spanish amp Portuguese,2.9,10 ratings,45%,2.3
3097,Matthew Hall,Engineering,4.7,26 ratings,100%,3.6
3098,Kyle Evans,Fine Arts,0,0 ratings,N/A,0
3099,Naomi Lindstrom,Languages,2,1 ratings,100%,3
3100,Eric Dewaal,Biology,4,3 ratings,100%,4
3101,Jordan Furnans,Civil Engineering,4,3 ratings,100%,3.3
3102,Michael Baker,Fine Arts,5,7 ratings,100%,2.6
3103,Jiabao Li,Design,0,0 ratings,N/A,0
3104,Eleanor Reynolds,Architecture,3,1 ratings,100%,2
3105,Gabriela Aquino,Human Dev & Family Sciences,5,1 ratings,100%,2
3106,Natalie Ammon,Human Dev & Family Sciences,4,1 ratings,100%,4
3107,Grace Greiner,English,1,1 ratings,N/A,5
3108,Roger Peng,Statistics & Data Science,5,1 ratings,100%,2
3109,Michael Rose,Chemistry,3,1 ratings,0%,3
3110,Samantha Pickette,Religion,0,0 ratings,N/A,0
3111,Xinyuan Yu,Chemistry,0,0 ratings,N/A,0
3112,Cindy McCreery,Film,4,4 ratings,100%,2.5
3113,Jacky Chong,Mathematics,2.4,34 ratings,27%,4.5
3114,Emily Caudill,Chemistry,3.1,21 ratings,100%,3.3
3115,Brent Iverson,Chemistry,4.9,86 ratings,99%,3.3
3116,Dennis Dunn,Science,4.5,31 ratings,97%,2.6
3117,Tara Craig,Mathematics,2.3,25 ratings,40%,2.7
3118,Rajiv Sant,Finance,2.9,23 ratings,100%,3.7
3119,Don Miller,Linguistics,0,0 ratings,100%,0
3120,Eric Heflin,Information Science,0,0 ratings,100%,0
3121,Kimberly McErlean,Sociology,5,1 ratings,100%,2
3122,Jermani Ludena,Spanish & Portuguese,0,0 ratings,N/A,0
3123,Brianna McCslin,Social Science,0,0 ratings,N/A,0
3124,Brianna McCaslin,Social Science,2,1 ratings,N/A,2
3125,Toshita Sharma,Business,1,1 ratings,N/A,5
3126,Debbie Ramírez,Spanish & Portuguese,5,1 ratings,100%,3
3127,Dev Niyogi,Geology,5,1 ratings,100%,3
3128,Earnest Mazique,Theatre & Dance,5,1 ratings,100%,2
3129,Annette Rodriguez,American Studies,4,1 ratings,100%,4
3130,Ashley Castleberry,First Year Experience,0,0 ratings,N/A,0
3131,Micah Barber,Film,4.2,13 ratings,100%,2.4
3132,Suzanne Jacobs,Physics,5,1 ratings,100%,1
3133,Madeline Penn,First Year Experience,5,1 ratings,100%,1
3134,joseph hirsh,Mathematics,0,0 ratings,100%,0
3135,Oviya Govindan,Anthropology,0,0 ratings,100%,0
3136,Ekaterina Levina,Linguistics,5,1 ratings,100%,3
3137,Brian Hurley,International Studies,4,1 ratings,100%,3
3138,Amy Thompson,Geography,5,1 ratings,100%,3
3139,Shannon Woods,Theatre & Dance,5,1 ratings,100%,1
3140,Harry Rosenberg,Philosophy,1,1 ratings,0%,5
3141,Andrea Villalba,Philosophy,0,0 ratings,N/A,0
3142,Sarah Farrell,English,0,0 ratings,100%,0
3143,Neville Hoad,English,4.6,29 ratings,100%,2.3
